округ;код ученика;любимый предмет;балл
С;Ученик 14;математика;735
ЮЗ;Ученик 15;математика;454
СВ;Ученик 57;математика;344
Ц;Ученик 68;математика;327
Ц;Ученик 70;математика;286
ЮЗ;Ученик 74;математика;668
ЗЕЛ;Ученик 79;математика;689
В;Ученик 84;математика;214
Ц;Ученик 109;математика;753
СВ;Ученик 125;математика;641
Ц;Ученик 145;математика;798
ЗЕЛ;Ученик 150;математика;776
Ц;Ученик 158;математика;526
В;Ученик 185;математика;230
С;Ученик 186;математика;728
В;Ученик 195;математика;602
Ц;Ученик 238;математика;743
ЮЗ;Ученик 268;математика;600
СВ;Ученик 271;математика;513
СВ;Ученик 279;математика;444
СВ;Ученик 282;математика;350
З;Ученик 288;математика;744
ЮЗ;Ученик 296;математика;582
СВ;Ученик 304;математика;793
С;Ученик 308;математика;797
ЮЗ;Ученик 322;математика;785
СВ;Ученик 336;математика;716
ЗЕЛ;Ученик 345;математика;240
ЮЗ;Ученик 350;математика;268
Ц;Ученик 351;математика;532
ЮЗ;Ученик 364;математика;572
С;Ученик 374;математика;337
Ю;Ученик 394;математика;637
СВ;Ученик 422;математика;741
СВ;Ученик 428;математика;757
З;Ученик 429;математика;395
В;Ученик 440;математика;509
ЮВ;Ученик 444;математика;572
ЮВ;Ученик 448;математика;312
СВ;Ученик 450;математика;501
ЮЗ;Ученик 478;математика;443
СВ;Ученик 482;математика;223
Ц;Ученик 487;математика;579
В;Ученик 507;математика;569
ЮЗ;Ученик 509;математика;738
ЮЗ;Ученик 510;математика;374
СВ;Ученик 519;математика;413
СВ;Ученик 534;математика;731
СВ;Ученик 542;математика;739
С;Ученик 545;математика;370
С;Ученик 565;математика;585
Ю;Ученик 566;математика;631
СВ;Ученик 568;математика;547
З;Ученик 584;математика;619
З;Ученик 598;математика;656
Ю;Ученик 603;математика;599
СЗ;Ученик 604;математика;652
С;Ученик 609;математика;517
ЗЕЛ;Ученик 614;математика;564
СВ;Ученик 618;математика;390
ЮЗ;Ученик 625;математика;509
З;Ученик 630;математика;697
ЮВ;Ученик 639;математика;328
В;Ученик 654;математика;530
ЮЗ;Ученик 656;математика;314
ЮЗ;Ученик 674;математика;454
С;Ученик 680;математика;706
Ц;Ученик 682;математика;608
Ю;Ученик 694;математика;492
В;Ученик 695;математика;310
Ю;Ученик 696;математика;631
Ц;Ученик 701;математика;406
Ю;Ученик 706;математика;261
СВ;Ученик 729;математика;777
Ю;Ученик 745;математика;281
С;Ученик 764;математика;532
ЮЗ;Ученик 771;математика;733
Ю;Ученик 799;математика;512
З;Ученик 810;математика;340
З;Ученик 841;математика;657
ЮЗ;Ученик 864;математика;321
ЮЗ;Ученик 884;математика;658
ЮЗ;Ученик 888;математика;533
ЮВ;Ученик 889;математика;726
З;Ученик 899;математика;525
Ю;Ученик 907;математика;668
Ю;Ученик 911;математика;556
В;Ученик 929;математика;670
СЗ;Ученик 940;математика;651
С;Ученик 955;математика;776
ЗЕЛ;Ученик 970;математика;639
Ц;Ученик 989;математика;401
СЗ;Ученик 993;математика;439
