округ;код ученика;любимый предмет;балл
С;Ученик 1;обществознание;246
В;Ученик 2;немецкий язык;530
Ю;Ученик 3;русский язык;576
СВ;Ученик 4;обществознание;304
СЗ;Ученик 5;химия;372
СЗ;Ученик 6;обществознание;322
Ю;Ученик 7;русский язык;493
ЗЕЛ;Ученик 8;химия;724
С;Ученик 9;английский язык;419
Ю;Ученик 10;английский язык;621
С;Ученик 11;химия;641
Ю;Ученик 12;химия;285
ЮВ;Ученик 13;английский язык;349
С;Ученик 14;математика;735
ЮЗ;Ученик 15;математика;454
ЮВ;Ученик 16;русский язык;677
Ц;Ученик 17;русский язык;619
ЮВ;Ученик 18;физика;632
З;Ученик 19;обществознание;706
СЗ;Ученик 20;физика;258
С;Ученик 21;русский язык;671
Ю;Ученик 22;русский язык;694
Ю;Ученик 23;физкультура;342
В;Ученик 24;немецкий язык;762
ЮЗ;Ученик 25;физкультура;295
Ц;Ученик 26;русский язык;405
В;Ученик 27;обществознание;448
СЗ;Ученик 28;литература;759
С;Ученик 29;литература;678
ЮЗ;Ученик 30;физкультура;305
В;Ученик 31;обществознание;397
В;Ученик 32;обществознание;352
В;Ученик 33;обществознание;591
СВ;Ученик 34;русский язык;737
Ю;Ученик 35;русский язык;211
З;Ученик 36;английский язык;292
ЮЗ;Ученик 37;обществознание;793
Ю;Ученик 38;физика;240
СВ;Ученик 39;физкультура;782
В;Ученик 40;биология;361
Ю;Ученик 41;обществознание;377
СВ;Ученик 42;обществознание;726
СВ;Ученик 43;физкультура;677
В;Ученик 44;английский язык;766
Ю;Ученик 45;английский язык;214
В;Ученик 46;география;570
ЮЗ;Ученик 47;обществознание;260
ЗЕЛ;Ученик 48;обществознание;482
В;Ученик 49;обществознание;716
Ю;Ученик 50;обществознание;667
С;Ученик 51;французский язык;608
СВ;Ученик 52;история;209
ЮЗ;Ученик 53;биология;638
ЮЗ;Ученик 54;обществознание;572
ЗЕЛ;Ученик 55;обществознание;700
ЮЗ;Ученик 56;обществознание;239
СВ;Ученик 57;математика;344
З;Ученик 58;информатика;413
Ц;Ученик 59;русский язык;569
С;Ученик 60;физика;687
ЗЕЛ;Ученик 61;информатика;422
З;Ученик 62;обществознание;564
З;Ученик 63;физкультура;402
Ю;Ученик 64;русский язык;753
З;Ученик 65;обществознание;574
Ц;Ученик 66;физкультура;404
С;Ученик 67;английский язык;696
Ц;Ученик 68;математика;327
СВ;Ученик 69;английский язык;242
Ц;Ученик 70;математика;286
В;Ученик 71;физика;644
Ц;Ученик 72;обществознание;613
Ц;Ученик 73;обществознание;500
ЮЗ;Ученик 74;математика;668
С;Ученик 75;обществознание;703
Ю;Ученик 76;обществознание;484
Ю;Ученик 77;литература;659
ЮЗ;Ученик 78;обществознание;653
ЗЕЛ;Ученик 79;математика;689
С;Ученик 80;география;775
СВ;Ученик 81;физкультура;728
СЗ;Ученик 82;русский язык;477
З;Ученик 83;химия;390
В;Ученик 84;математика;214
Ю;Ученик 85;русский язык;633
З;Ученик 86;информатика;761
ЮВ;Ученик 87;немецкий язык;612
В;Ученик 88;биология;563
С;Ученик 89;английский язык;393
С;Ученик 90;информатика;539
З;Ученик 91;ИЗО;649
ЮВ;Ученик 92;литература;309
В;Ученик 93;обществознание;485
В;Ученик 94;биология;230
Ц;Ученик 95;физкультура;752
В;Ученик 96;информатика;365
В;Ученик 97;физкультура;685
